subid,gender,age,list,agegroup,condition,trial,side,trial.type,name_location
011013_10,female,2.1,3,2,After,1,0,After A,A
100312_05,male,2.8,3,2,After,1,1,After A,A
100312_07,male,2.9,3,2,After,1,0,After A,A
100312_18,male,3.0,3,2,After,1,1,After A,A
100312_20,male,2.0,3,2,After,1,1,After A,A
101912_04,male,2.9,3,2,After,1,0,After A,A
101912_08,male,2.7,3,2,After,1,1,After A,A
102012_04,female,2.4,3,2,After,1,0,After A,A
011013_06,female,3.4,3,3,After,1,0,After A,A
012413_02,male,3.7,3,3,After,1,1,After A,A
092612_01,male,3.7,3,3,After,1,0,After A,A
092612_04,male,3.0,3,3,After,1,0,After A,A
092812_02,male,3.6,3,3,After,1,1,After A,A
100312_02,male,3.9,3,3,After,1,1,After A,A
101212_11,male,3.7,3,3,After,1,1,After A,A
101912_09,female,3.9,3,3,After,1,1,After A,A
092612_06,female,4.4,3,4,After,1,0,After A,A
092612_10,male,4.2,3,4,After,1,1,After A,A
092812_06,female,4.2,3,4,After,1,0,After A,A
100312_12,female,4.2,3,4,After,1,0,After A,A
100312_14,female,4.3,3,4,After,1,0,After A,A
101212_02,female,4.8,3,4,After,1,1,After A,A
101212_08,male,4.5,3,4,After,1,1,After A,A
111612_08,male,4.1,3,4,After,1,0,After A,A
011013_11,female,5.0,3,5,After,1,0,After A,A
012413_07,male,5.3,3,5,After,1,0,After A,A
102012_08,male,5.0,3,5,After,1,0,After A,A
102012_16,female,5.4,3,5,After,1,0,After A,A
110912_02,male,5.1,3,5,After,1,0,After A,A
110912_03,female,5.9,3,5,After,1,0,After A,A
110912_04,male,5.3,3,5,After,1,0,After A,A
111612_17,female,5.3,3,5,After,1,1,After A,A
011713_02,female,adult,3,adult,After,1,0,After A,A
011713_04,female,adult,3,adult,After,1,0,After A,A
011713_06,female,adult,3,adult,After,1,1,After A,A
012413_01,male,adult,3,adult,After,1,0,After A,A
012413_09,male,adult,3,adult,After,1,0,After A,A
012413_11,female,adult,3,adult,After,1,1,After A,A
011013_03,male,2.4,4,2,After,2,0,After A,A
100312_03,male,2.7,4,2,After,2,1,After A,A
100312_13,female,2.7,4,2,After,2,1,After A,A
101212_06,male,2.5,4,2,After,2,1,After A,A
101212_15,female,2.3,4,2,After,2,0,After A,A
101912_06,female,2.6,4,2,After,2,0,After A,A
101912_10,male,2.5,4,2,After,2,0,After A,A
102612_07,female,2.3,4,2,After,2,0,After A,A
011013_08,female,3.5,4,3,After,2,0,After A,A
092612_03,male,3.1,4,3,After,2,1,After A,A
092612_09,female,3.6,4,3,After,2,1,After A,A
092812_07,female,3.8,4,3,After,2,0,After A,A
092812_09,male,3.7,4,3,After,2,1,After A,A
100312_06,male,3.0,4,3,After,2,1,After A,A
100312_09,female,3.6,4,3,After,2,0,After A,A
100312_19,male,3.4,4,3,After,2,0,After A,A
011013_04,female,5.0,4,4,After,2,0,After A,A
092812_03,female,4.8,4,4,After,2,0,After A,A
100312_11,male,4.6,4,4,After,2,0,After A,A
101212_07,male,4.5,4,4,After,2,1,After A,A
101212_09,female,4.5,4,4,After,2,0,After A,A
101212_10,male,4.6,4,4,After,2,1,After A,A
101212_12,male,4.7,4,4,After,2,0,After A,A
101212_14,male,4.9,4,4,After,2,1,After A,A
011013_01,female,5.9,4,5,After,2,1,After A,A
012413_03,male,5.3,4,5,After,2,0,After A,A
012513_12,female,5.4,4,5,After,2,1,After A,A
102012_15,female,5.7,4,5,After,2,1,After A,A
102612_04,female,6.0,4,5,After,2,1,After A,A
102612_05,female,5.1,4,5,After,2,1,After A,A
